,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa
BDM05160019BF,306,PLA/PHA,3,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.44140684,,2.13613909,,,,,
BDM05160020BF,307,No Mulch,3,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,23.28824976,,6.99692159,,,,,
BDM05160021BF,308,Organix,3,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.84016612,,4.835609047,,,,,
BDM05160029BF,101,Weedguard,1,16-May,Spring,TN,SpringTN,05-2016TN,2016,5.825,,13.61111111,,5.095171454,,,,,
BDM05160030BF,102,BioAgri,1,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.19,,13.8028169,,6.596229766,,,,,
BDM05160031BF,103,PLA/PHA,1,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.005,,12.15469613,,8.138756816,,,,,
BDM05160032BF,105,Naturecycle,1,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.245,,15.8045977,,4.277320803,,,,,
BDM05160033BF,106,No Mulch,1,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.33,,15.29745042,,4.277650503,,,,,
BDM05160034BF,107,Organix,1,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.32,,12.67605634,,3.5952218,,,,,
BDM05160035BF,108,Polyethylene,1,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.025,,11.47540984,,3.978473604,,,,,
BDM05160036BF,201,PLA/PHA,2,16-May,Spring,TN,SpringTN,05-2016TN,2016,5.595,,14.3258427,,4.299283462,,,,,
BDM05160037BF,202,No Mulch,2,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.355,,12.15469613,,4.372361726,,,,,
BDM05160038BF,203,Weedguard,2,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.055,,11.35734072,,3.93934806,,,,,
BDM05160039BF,204,BioAgri,2,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.13,,12.32492997,,3.545908887,,,,,
BDM05160040BF,205,Organix,2,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.395,,13.05555556,,3.988122668,,,,,
BDM05160041BF,206,Naturecycle,2,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.865,,14.64788732,,3.720813535,,,,,
BDM05160042BF,207,Polyethylene,2,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.68,,11.29476584,,1.428191409,,,,,
BDM05160043BF,301,Naturecycle,3,16-May,Spring,TN,SpringTN,05-2016TN,2016,5.715,,14.20454545,,2.448572307,,,,,
BDM05160044BF,302,Weedguard,3,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.145,,12.35955056,,3.036042532,,,,,
BDM05160045BF,304,Polyethylene,3,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.14,,10.92896175,,2.576790047,,,,,
BDM05160046BF,305,BioAgri,3,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.815,,12.77777778,,3.100253868,,,,,
BDM05160047BF,306,PLA/PHA,3,16-May,Spring,TN,SpringTN,05-2016TN,2016,7.025,,12.39669421,,3.400088279,,,,,
BDM05160048BF,307,No Mulch,3,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.855,,9.56284153,,2.473600648,,,,,
BDM05160049BF,308,Organix,3,16-May,Spring,TN,SpringTN,05-2016TN,2016,6.63,,10.16483516,,2.302212417,,,,,
BDM09150001BF,101,Weedguard,1,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.7,26,6.260929127,1.6,4.409592476,68,24,4,3,1
BDM09150002BF,102,BioAgri,1,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.75,24,6.118162096,1.5,3.815520567,55,35,6,3,1
BDM09150003BF,103,PLA/PHA,1,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.755,46,10.29189145,1.6,6.302637036,64,28,5,2,1
BDM09150004BF,105,Naturecycle,1,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.815,39,7.737862706,1.9,4.449081189,63,29,5,3,0
BDM09150005BF,106,No Mulch,1,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.9,26,8.648714843,2.1,4.161709641,62,31,5,2,0
BDM09150006BF,107,Organix,1,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.255,18,9.784606567,1.7,3.772583098,61,32,5,2,0
BDM09150007BF,108,Polyethylene,1,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.855,22,12.18409654,1.5,3.802966679,59,32,6,2,1
BDM09150008BF,201,PLA/PHA,2,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.72,32,8.326771648,1.7,2.874319212,77,18,3,2,0
BDM09150009BF,202,No Mulch,2,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.405,19,6.061796154,1.4,2.794888074,56,33,7,3,1
BDM09150010BF,203,Weedguard,2,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.84,35,7.24417449,1.3,2.734633308,59,30,6,4,1
BDM09150011BF,204,BioAgri,2,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.8,28,21.48901328,1.4,3.602059855,67,24,4,4,1
BDM09150012BF,205,Organix,2,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.315,27,9.647875587,1.6,2.447388101,35,49,8,7,1
BDM09150013BF,206,Naturecycle,2,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.635,30,7.38246724,1.7,4.205137418,58,36,4,2,0
BDM09150014BF,207,Polyethylene,2,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.77,10,8.11326229,1.4,2.126025984,51,42,5,2,0
BDM09150015BF,301,Naturecycle,3,15-Sep,Fall,TN,FallTN,09-2015TN,2015,4.965,28,7.317783443,1.6,2.656209403,52,37,7,3,1
BDM09150016BF,302,Weedguard,3,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.01,23,8.312746733,1.4,2.432951694,57,32,7,3,1
BDM09150017BF,304,Polyethylene,3,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.13,12,6.39543597,1.3,0.940797453,63,28,5,3,1
BDM09150018BF,305,BioAgri,3,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.645,34,7.81809659,1.5,3.554815248,57,33,6,3,1
BDM09150019BF,306,PLA/PHA,3,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.98,23,7.592589615,1.3,0.982374678,31,52,9,7,1
BDM09150020BF,307,No Mulch,3,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.795,9,5.342924525,1.3,2.678001119,33,51,8,5,3
BDM09150021BF,308,Organix,3,15-Sep,Fall,TN,FallTN,09-2015TN,2015,5.455,18,6.945678435,1.5,2.465492948,56,36,4,3,1
BDM09150029BF,101,Weedguard,1,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.9,34,22.10601379,2.2,4.53263277,37,50,8,4,1
BDM09150030BF,102,BioAgri,1,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.7,66,21.56862745,2.3,2.583288266,45,44,7,3,1
BDM09150031BF,103,PLA/PHA,1,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.8,48,20.11291461,2.2,2.478476903,36,50,9,3,2
BDM09150032BF,105,Naturecycle,1,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.9,43,21.74541948,2.2,3.759067367,62,31,5,2,0
BDM09150033BF,106,No Mulch,1,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.9,102,20.18244014,2.3,2.487275321,43,44,8,4,1
BDM09150034BF,107,Organix,1,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.7,25,20.79883098,2.2,3.631015578,45,44,7,3,1
BDM09150035BF,108,Polyethylene,1,15-Sep,Fall,WA,FallWA,09-2015WA,2015,6,6,17.39030554,2.2,2.076609627,68,25,4,2,1
BDM09150036BF,201,PLA/PHA,2,15-Sep,Fall,WA,FallWA,09-2015WA,2015,6,6,20.75750123,2.3,3.335969186,42,47,7,3,1
BDM09150037BF,202,No Mulch,2,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.8,72,19.48927969,2.4,3.353531009,63,31,4,2,0
BDM09150038BF,203,Weedguard,2,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.7,56,23.03536346,2.3,3.710374285,58,33,5,3,1
BDM09150039BF,204,BioAgri,2,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.9,19,22.49335588,2.3,3.655465696,38,50,7,4,1
BDM09150040BF,205,Organix,2,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.5,43,22.37001209,2.2,3.120348439,55,35,6,3,1
BDM09150041BF,206,Naturecycle,2,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.9,12,21.57413914,2.2,3.882353871,27,59,9,4,1
BDM09150042BF,207,Polyethylene,2,15-Sep,Fall,WA,FallWA,09-2015WA,2015,6,6,18.22892134,2.2,2.855857074,51,40,6,2,1
BDM09150043BF,301,Naturecycle,3,15-Sep,Fall,WA,FallWA,09-2015WA,2015,6.2,16,21.59227986,2.5,4.831513422,42,46,7,4,1
BDM09150044BF,302,Weedguard,3,15-Sep,Fall,WA,FallWA,09-2015WA,2015,6.2,14,22.57601149,2.4,4.191668159,43,46,6,4,1
BDM09150045BF,304,Polyethylene,3,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.9,9,17.33760293,2.4,1.243036392,65,29,4,2,0
BDM09150046BF,305,BioAgri,3,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.4,77,22.36590038,2.5,3.320773436,45,43,7,4,1
BDM09150047BF,306,PLA/PHA,3,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.8,11,20.56230641,2.3,2.689408881,65,29,4,2,0
BDM09150048BF,307,No Mulch,3,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.6,53,19.77454204,2.7,5.767336794,54,36,6,3,1
BDM09150049BF,308,Organix,3,15-Sep,Fall,WA,FallWA,09-2015WA,2015,5.8,22,21.96896217,2.2,3.495600711,58,34,5,2,1
BDM09160001BF,101,Weedguard,1,16-Sep,Fall,TN,FallTN,09-2016TN,2016,6,41,12.15277778,1.5,13.16544047,67,25,4,3,1
BDM09160002BF,102,BioAgri,1,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.5,66,9.73871734,1.3,11.76406287,54,36,5,4,1
BDM09160003BF,103,PLA/PHA,1,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.85,35,8.8,1.5,3.830969423,62,30,5,2,1
BDM09160004BF,105,Naturecycle,1,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.75,58,11.26436782,1.6,4.478736497,52,37,6,4,1
BDM09160005BF,106,No Mulch,1,16-Sep,Fall,TN,FallTN,09-2016TN,2016,6.05,43,12.95843521,1.7,10.45869367,36,51,7,5,1
BDM09160006BF,107,Organix,1,16-Sep,Fall,TN,FallTN,09-2016TN,2016,6.1,29,10.77348066,1.5,7.504353114,48,41,6,4,1
BDM09160007BF,108,Polyethylene,1,16-Sep,Fall,TN,FallTN,09-2016TN,2016,6.25,18,6.796116505,1.6,3.419081186,43,46,5,5,1
BDM09160008BF,201,PLA/PHA,2,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.65,30,9.635416667,1.7,10.68624742,49,39,7,4,1
BDM09160009BF,202,No Mulch,2,16-Sep,Fall,TN,FallTN,09-2016TN,2016,6.05,21,11.45038168,1.4,7.863050937,28,56,11,4,1
BDM09160010BF,203,Weedguard,2,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.75,25,11.95402299,1.4,8.440390176,34,51,9,5,1
BDM09160011BF,204,BioAgri,2,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.55,38,11.35802469,1.4,6.877378118,65,27,5,2,1
BDM09160012BF,205,Organix,2,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.75,29,11.87335092,1.4,6.337790958,57,34,5,3,1
BDM09160013BF,206,Naturecycle,2,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.85,22,12.41534989,1.5,6.538843307,36,53,7,4,0
BDM09160014BF,207,Polyethylene,2,16-Sep,Fall,TN,FallTN,09-2016TN,2016,6.15,11,6.352941176,1.3,1.881158089,43,48,6,3,0
BDM09160015BF,301,Naturecycle,3,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.45,33,11.98979592,1.6,7.105386058,53,36,8,2,1
BDM09160016BF,302,Weedguard,3,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.5,20,14.03940887,1.4,5.766718983,39,46,11,3,1
BDM09160017BF,304,Polyethylene,3,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.3,26,4.608294931,1.3,1.992949429,40,47,9,3,1
BDM09160018BF,305,BioAgri,3,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.6,41,12.44131455,1.4,5.694544872,25,60,10,4,1
BDM09160019BF,306,PLA/PHA,3,16-Sep,Fall,TN,FallTN,09-2016TN,2016,6,22,11.5942029,1.3,6.910266688,14,68,12,5,1
BDM09160020BF,307,No Mulch,3,16-Sep,Fall,TN,FallTN,09-2016TN,2016,6.2,13,10.99744246,1.2,9.214743534,39,49,7,4,1
BDM09160021BF,308,Organix,3,16-Sep,Fall,TN,FallTN,09-2016TN,2016,5.85,22,11.81102362,1.5,7.294172905,50,39,5,5,1
BDM09160029BF,101,Weedguard,1,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.6,33,20.13638989,2.1,6.735630879,54,35,7,3,1
BDM09160030BF,102,BioAgri,1,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.4,43,21.53110048,2.3,5.820360151,50,39,7,3,1
BDM09160031BF,103,PLA/PHA,1,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.4,29,20.95616024,2.2,6.355156447,56,35,6,2,1
BDM09160032BF,105,Naturecycle,1,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.6,19,20.07844646,2.3,0.559185467,49,40,7,3,1
BDM09160033BF,106,No Mulch,1,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.7,29,16.38783364,2.2,6.052971634,50,40,7,2,1
BDM09160034BF,107,Organix,1,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.7,17,20.16183375,2.1,6.402647654,48,42,7,2,1
BDM09160035BF,108,Polyethylene,1,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.5,27,18.48406008,2.1,5.049480194,49,41,7,2,1
BDM09160036BF,201,PLA/PHA,2,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.4,42,20.82372606,2.1,4.953207811,44,45,7,3,1
BDM09160037BF,202,No Mulch,2,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.7,17,17.15463788,2.3,6.396592121,41,48,7,3,1
BDM09160038BF,203,Weedguard,2,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.2,72,19.40860215,2.3,8.206443116,43,45,7,4,1
BDM09160039BF,204,BioAgri,2,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.4,58,22.17131195,2.3,5.230971812,53,37,6,3,1
BDM09160040BF,205,Organix,2,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.4,28,21.36586662,2.3,5.830265304,52,38,6,3,1
BDM09160041BF,206,Naturecycle,2,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.4,80,20.95435572,2.2,4.204551021,54,35,7,3,1
BDM09160042BF,207,Polyethylene,2,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.4,20,19.7755161,2.1,4.809873458,51,40,6,2,1
BDM09160043BF,301,Naturecycle,3,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.7,24,21.20651369,2.3,4.937607088,43,45,8,3,1
BDM09160044BF,302,Weedguard,3,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.7,17,20.27067081,2.3,5.540266956,48,42,6,3,1
BDM09160045BF,304,Polyethylene,3,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.5,24,21.02090365,2.4,2.011761498,41,48,7,3,1
BDM09160046BF,305,BioAgri,3,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.5,12,19.33211311,2.4,5.634120838,50,40,6,3,1
BDM09160047BF,306,PLA/PHA,3,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.9,8,20.71687527,2.4,7.478121161,33,54,9,3,1
BDM09160048BF,307,No Mulch,3,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.8,12,16.21916187,2.3,11.44990474,56,35,6,2,1
BDM09160049BF,308,Organix,3,16-Sep,Fall,WA,FallWA,09-2016WA,2016,5.2,15,21.36339238,2.3,6.570593666,58,34,5,2,1
