Group,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,soilph,solsalt,om,no3ppm,brayp,exk,exca,exmg,exna,cec,eea.cn,eea.cp,TotalN,GSM,ResC
BDM05160032BF,105,Naturecycle,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.8,0.26,1.5,6.7,102,109,580,59,10,7.7,0.627,0.727,16,15.8045977,4.277320803
BDM05160033BF,106,No Mulch,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.9,0.22,1.7,5.6,91,95,670,59,3,9.1,0.674,0.743,13,15.29745042,4.277650503
BDM05160034BF,107,Organix,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.2,0.22,1.5,5.9,87,114,650,59,8,7.1,0.530,0.669,14,12.67605634,3.5952218
BDM05160035BF,108,Polyethylene,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.8,0.26,1.5,5.3,94,111,530,46,14,10.4,0.593,0.632,13,11.47540984,3.978473604
BDM05160036BF,201,PLA/PHA,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.3,0.16,1.5,3.1,59,53,550,65,12,10.5,0.616,0.678,7,14.3258427,4.299283462
BDM05160037BF,202,No Mulch,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6,0.2,1.4,2.1,110,61,630,72,6,9.9,0.647,0.742,5,12.15469613,4.372361726
BDM05160038BF,203,Weedguard,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.5,0.18,1.3,2.2,107,72,510,60,10,9.3,0.663,0.765,5,11.35734072,3.93934806
BDM05160039BF,204,BioAgri,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.7,0.14,1.2,2.3,89,66,510,62,16,7.3,0.686,0.742,6,12.32492997,3.545908887
BDM05160040BF,205,Organix,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.4,0.28,1.4,6.3,97,107,640,64,10,6.1,0.722,0.809,15,13.05555556,3.988122668
BDM05160041BF,206,Naturecycle,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.5,0.28,1.5,5.1,88,111,920,69,24,7.6,0.733,0.828,12,14.64788732,3.720813535
BDM05160042BF,207,Polyethylene,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.4,0.22,1.3,5.3,88,119,790,55,8,6.7,0.577,0.613,13,11.29476584,1.428191409
BDM05160043BF,301,Naturecycle,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.6,0.2,1.6,4.5,38,57,610,80,12,8.9,0.575,0.590,11,14.20454545,2.448572307
BDM05160044BF,302,Weedguard,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6,0.16,1.4,2.4,54,61,650,93,9,8.2,0.695,0.751,6,12.35955056,3.036042532
BDM05160045BF,304,Polyethylene,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.9,0.18,1.2,2.5,73,55,550,63,11,10.5,0.695,0.763,6,10.92896175,2.576790047
BDM05160046BF,305,BioAgri,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.6,0.28,1.3,5,60,102,770,88,12,7.9,0.483,0.617,12,12.77777778,3.100253868
BDM05160047BF,306,PLA/PHA,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.6,0.26,1.3,3.6,58,102,800,84,14,7,0.588,0.684,9,12.39669421,3.400088279
BDM05160048BF,307,No Mulch,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.5,0.16,1.2,2.1,71,83,730,71,11,6.5,0.640,0.693,5,9.56284153,2.473600648
BDM05160049BF,308,Organix,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.3,0.18,1.4,2.4,81,114,710,55,13,6.4,0.594,0.613,6,10.16483516,2.302212417
BDM09150001BF,101,Weedguard,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.2,0.28,1.6,11,115,97,420,47,16,8.8,0.527,0.665,26,6.260929127,4.409592476
BDM09150002BF,102,BioAgri,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.4,0.26,1.5,10,142,75,390,40,13,5.5,0.621,0.816,24,6.118162096,3.815520567
BDM09150003BF,103,PLA/PHA,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.3,0.4,1.6,19.1,117,71,440,47,16,7.8,0.632,0.809,46,10.29189145,6.302637036
BDM09150004BF,105,Naturecycle,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.5,0.42,1.9,16.2,105,89,470,48,9,8,0.658,0.847,39,7.737862706,4.449081189
BDM09150005BF,106,No Mulch,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.4,0.24,2.1,10.7,99,69,500,50,6,8.1,0.656,0.813,26,8.648714843,4.161709641
BDM09150006BF,107,Organix,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.7,0.22,1.7,7.5,86,67,510,48,9,8.2,0.638,0.831,18,9.784606567,3.772583098
BDM09150007BF,108,Polyethylene,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.2,0.3,1.5,9.2,83,61,430,50,21,6.8,0.656,0.849,22,12.18409654,3.802966679
BDM09150008BF,201,PLA/PHA,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5,0.24,1.7,13.5,67,97,450,48,12,13,0.634,0.790,32,8.326771648,2.874319212
BDM09150009BF,202,No Mulch,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.7,0.28,1.4,7.8,117,101,620,71,12,9,0.655,0.806,19,6.061796154,2.794888074
BDM09150010BF,203,Weedguard,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.3,0.36,1.3,14.5,118,115,420,46,8,6.8,0.618,0.799,35,7.24417449,2.734633308
BDM09150011BF,204,BioAgri,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.4,0.32,1.4,11.7,102,108,370,39,9,7.5,0.631,0.802,28,21.48901328,3.602059855
BDM09150012BF,205,Organix,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.8,0.32,1.6,11.3,99,165,560,53,17,5.7,0.655,0.868,27,9.647875587,2.447388101
BDM09150013BF,206,Naturecycle,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,6.1,0.36,1.7,12.3,90,92,740,53,5,10.4,0.554,0.748,30,7.38246724,4.205137418
BDM09150014BF,207,Polyethylene,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,6.4,0.16,1.4,4.3,83,61,650,51,9,7.9,0.646,0.902,10,8.11326229,2.126025984
BDM09150015BF,301,Naturecycle,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.3,0.26,1.6,11.5,43,91,560,69,14,7.7,0.730,0.834,28,7.317783443,2.656209403
BDM09150016BF,302,Weedguard,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.6,0.34,1.4,9.7,52,109,560,78,18,8.8,0.662,0.776,23,8.312746733,2.432951694
BDM09150017BF,304,Polyethylene,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.5,0.18,1.3,5.1,78,92,460,50,13,8,0.847,1.079,12,6.39543597,0.940797453
BDM09150018BF,305,BioAgri,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,6,0.3,1.5,14.2,68,143,710,71,15,10.6,0.661,0.870,34,7.81809659,3.554815248
BDM09150019BF,306,PLA/PHA,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,6.5,0.26,1.3,9.7,57,167,690,72,11,6.5,0.665,0.863,23,7.592589615,0.982374678
BDM09150020BF,307,No Mulch,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,6.2,0.22,1.3,3.9,74,113,630,60,39,6.1,0.626,0.829,9,5.342924525,2.678001119
BDM09150021BF,308,Organix,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.8,0.24,1.5,7.7,79,82,520,38,9,7.2,0.599,0.759,18,6.945678435,2.465492948
BDM09160001BF,101,Weedguard,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.4,0.38,1.5,17.1,104,118,510,53,13,10.4,0.548,0.625,41,12.15277778,13.16544047
BDM09160002BF,102,BioAgri,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.4,0.48,1.3,27.7,136,161,660,59,16,9.3,0.595,0.780,66,9.73871734,11.76406287
BDM09160003BF,103,PLA/PHA,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.3,0.3,1.5,14.5,134,89,570,57,12,9.6,0.515,0.641,35,8.8,3.830969423
BDM09160004BF,105,Naturecycle,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.3,0.44,1.6,24.1,108,139,740,73,15,9.7,0.506,0.643,58,11.26436782,4.478736497
BDM09160005BF,106,No Mulch,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6,0.38,1.7,17.8,94,173,860,69,10,8.4,0.538,0.676,43,12.95843521,10.45869367
BDM09160006BF,107,Organix,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6,0.36,1.5,12,93,114,700,58,11,8.3,0.562,0.673,29,10.77348066,7.504353114
BDM09160007BF,108,Polyethylene,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.1,0.26,1.6,7.4,105,133,660,43,10,7,0.597,0.735,18,6.796116505,3.419081186
BDM09160008BF,201,PLA/PHA,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.3,0.38,1.7,12.5,60,120,650,68,14,8.2,0.548,0.655,30,9.635416667,10.68624742
BDM09160009BF,202,No Mulch,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.9,0.34,1.4,8.7,116,109,800,91,11,7.1,0.603,0.740,21,11.45038168,7.863050937
BDM09160010BF,203,Weedguard,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.7,0.34,1.4,10.3,108,115,580,63,13,5.8,0.611,0.756,25,11.95402299,8.440390176
BDM09160011BF,204,BioAgri,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.4,0.44,1.4,16,92,82,510,52,13,9.3,0.555,0.697,38,11.35802469,6.877378118
BDM09160012BF,205,Organix,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.6,0.26,1.4,12,103,118,710,67,14,10.5,0.620,0.787,29,11.87335092,6.337790958
BDM09160013BF,206,Naturecycle,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.3,0.28,1.5,9.1,84,118,890,69,8,8.4,0.611,0.806,22,12.41534989,6.538843307
BDM09160014BF,207,Polyethylene,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.3,0.18,1.3,4.5,96,96,880,61,10,9.2,0.581,0.721,11,6.352941176,1.881158089
BDM09160015BF,301,Naturecycle,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.4,0.38,1.6,13.8,40,86,670,87,13,9.4,0.636,0.761,33,11.98979592,7.105386058
BDM09160016BF,302,Weedguard,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.7,0.34,1.4,8.5,56,84,710,105,13,7.7,0.531,0.637,20,14.03940887,5.766718983
BDM09160017BF,304,Polyethylene,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.7,0.32,1.3,10.8,78,79,710,79,11,7.5,0.606,0.797,26,4.608294931,1.992949429
BDM09160018BF,305,BioAgri,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.1,0.48,1.4,17,67,142,970,97,14,8.1,0.597,0.802,41,12.44131455,5.694544872
BDM09160019BF,306,PLA/PHA,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.6,0.36,1.3,9.1,61,139,970,107,12,7.2,0.597,0.792,22,11.5942029,6.910266688
BDM09160020BF,307,No Mulch,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.4,0.26,1.2,5.5,79,127,730,65,12,7.6,0.621,0.768,13,10.99744246,9.214743534
BDM09160021BF,308,Organix,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.6,0.34,1.5,9.3,85,141,650,47,10,8,0.628,0.744,22,11.81102362,7.294172905
BDM05150029BF,101,Weedguard,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.36,2.3,6,71,162,930,99,23,10,0.682,0.827,,20.46783626,13.22227717
BDM05150030BF,102,BioAgri,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.4,0.32,2.3,4.2,85,164,960,102,21,9.2,0.740,0.855,,21.8579235,16.73779786
BDM05150031BF,103,PLA/PHA,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.36,2.2,5.4,93,174,880,95,18,8.7,0.727,0.887,,22.22222222,12.95169094
BDM05150032BF,105,Naturecycle,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.1,0.26,2.2,3.8,76,151,850,91,20,8.5,0.673,0.784,,21.76470588,10.92703873
BDM05150033BF,106,No Mulch,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.26,2.3,2.4,78,174,890,93,16,8.7,0.716,0.859,,22.23476298,12.74269897
BDM05150034BF,107,Organix,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.28,2.2,3.3,65,151,900,93,23,8.8,0.691,0.831,,22.42647059,10.94679646
BDM05150035BF,108,Polyethylene,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.28,2.5,2.4,70,153,840,84,22,8.4,0.696,0.888,,21.49333333,13.10261405
BDM05150036BF,201,PLA/PHA,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.28,2.3,6.7,75,172,830,89,21,7.4,0.695,0.810,,23.60604482,14.17316835
BDM05150037BF,202,No Mulch,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.28,2.4,5,84,186,950,87,17,10,0.798,0.919,,22.29617304,14.62863052
BDM05150038BF,203,Weedguard,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.24,2.4,8.6,85,202,830,85,15,8.4,0.742,0.885,,19.98577525,13.09500205
BDM05150039BF,204,BioAgri,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.1,0.3,2.3,6.3,94,209,900,90,20,8.9,0.740,0.894,,21.25765164,15.54256075
BDM05150040BF,205,Organix,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.22,2.4,2.9,80,163,820,86,19,12.3,0.660,0.804,,20.49736247,10.67141111
BDM05150041BF,206,Naturecycle,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.3,0.24,2.2,2.7,81,153,880,90,22,8.6,0.612,0.865,,21.38038402,13.7474331
BDM05150042BF,207,Polyethylene,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.22,2.2,2.4,70,149,780,83,20,6.1,0.318,0.547,,19.61414791,16.16885754
BDM05150043BF,301,Naturecycle,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.4,0.3,2.4,7.1,67,182,1000,100,22,9.4,0.702,0.844,,19.41896024,12.3287849
BDM05150044BF,302,Weedguard,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.4,0.3,2.5,7,77,181,960,89,19,8.1,0.709,0.870,,21.12244898,14.5656793
BDM05150045BF,304,Polyethylene,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.1,0.2,2.4,5.2,81,172,810,85,19,10.3,0.560,0.682,,21.83908046,20.14142608
BDM05150046BF,305,BioAgri,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.1,0.22,2.5,3.8,83,173,800,89,20,10.3,0.660,0.783,,21.76165803,16.13511783
BDM05150047BF,306,PLA/PHA,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.24,2.3,4,79,169,820,93,22,12.4,0.697,0.810,,22.59887006,15.35345069
BDM05150048BF,307,No Mulch,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,0.22,2.3,2.3,70,158,810,89,23,10.3,0.734,0.859,,28.02547771,17.10240846
BDM05150049BF,308,Organix,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.3,0.26,2.4,5.2,73,144,880,83,18,9.5,0.738,0.885,,22.6744186,15.37231109
BDM05160001BF,101,Weedguard,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.1,0.22,2.2,1.3,64,132,970,95,11,12,0.772,0.798,,23.32275546,6.467224541
BDM05160002BF,102,BioAgri,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.16,2.3,0.9,78,121,1100,96,14,9.7,0.776,0.821,,23.53487664,4.928205102
BDM05160003BF,103,PLA/PHA,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.1,0.16,2.2,0.7,86,131,910,98,13,8.8,0.678,0.828,,22.52535568,5.725974561
BDM05160004BF,105,Naturecycle,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.1,0.18,2.1,0.9,70,114,940,91,12,8.8,0.546,0.688,,22.4730891,5.134057424
BDM05160005BF,106,No Mulch,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.14,2.1,1.2,75,115,920,89,10,9.7,0.664,0.798,,21.74001537,1.780374792
BDM05160006BF,107,Organix,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.3,0.14,2.1,0.8,58,113,910,90,14,9.7,0.708,0.804,,22.10840242,-0.096103125
BDM05160007BF,108,Polyethylene,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.14,2.2,0.9,57,100,830,86,12,10.2,0.695,0.714,,22.83717688,4.738045607
BDM05160008BF,201,PLA/PHA,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.16,2.2,0.5,72,140,1060,105,23,12.6,0.658,0.762,,22.34769186,5.412301989
BDM05160009BF,202,No Mulch,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.14,2.3,0.4,77,159,1010,93,20,11.3,0.651,0.775,,21.83536687,6.699597781
BDM05160010BF,203,Weedguard,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.1,0.16,2.2,0.7,84,144,970,81,9,11.9,0.667,0.782,,21.66457843,0.349770458
BDM05160011BF,204,BioAgri,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.1,0.2,2.2,0.8,82,159,1030,94,12,14.4,0.662,0.780,,22.06501976,4.523033984
BDM05160012BF,205,Organix,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.1,0.16,2.2,0.6,73,148,940,96,22,9,0.675,0.772,,22.23850461,5.651313004
BDM05160013BF,206,Naturecycle,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.14,2.1,0.3,75,122,970,94,15,8,0.676,0.822,,21.79778595,4.420077429
BDM05160014BF,207,Polyethylene,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.18,2.2,0.4,62,102,940,82,12,8.7,0.676,0.810,,21.67567223,5.877885523
BDM05160015BF,301,Naturecycle,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.5,0.16,2.2,1,64,134,1010,97,16,8.3,0.684,0.823,,23.64969866,4.213030247
BDM05160016BF,302,Weedguard,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.4,0.18,2.2,1,70,152,1040,99,23,9.5,0.676,0.824,,23.72020837,6.899009279
BDM05160017BF,304,Polyethylene,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.1,0.18,2.2,0.5,79,126,870,84,13,8.4,0.672,0.814,,22.90078485,8.683090529
BDM05160018BF,305,BioAgri,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.1,0.18,2.3,0.5,76,128,900,87,16,10.6,0.707,0.808,,30.57552804,5.577236193
BDM05160019BF,306,PLA/PHA,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.16,2.2,0.7,79,125,920,96,21,8.8,0.703,0.803,,22.44140684,2.13613909
BDM05160020BF,307,No Mulch,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.2,2.3,1.6,66,140,990,91,19,9.1,0.686,0.810,,23.28824976,6.99692159
BDM05160021BF,308,Organix,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,6.2,0.14,2.3,1.1,65,103,910,85,20,8.6,0.711,0.817,,22.84016612,4.835609047
BDM09150029BF,101,Weedguard,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,0.42,2.2,14,90,141,820,75,14,8.1,0.702,0.795,,22.10601379,4.53263277
BDM09150030BF,102,BioAgri,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.7,0.62,2.3,27.5,91,129,1010,91,17,11.2,0.712,0.830,,21.56862745,2.583288266
BDM09150031BF,103,PLA/PHA,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.8,0.46,2.2,19.9,92,108,830,86,39,8.3,0.701,0.723,,20.11291461,2.478476903
BDM09150032BF,105,Naturecycle,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,0.4,2.2,17.9,78,114,890,83,15,14.5,0.718,0.783,,21.74541948,3.759067367
BDM09150033BF,106,No Mulch,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,0.86,2.3,42.4,87,127,840,84,20,9.3,0.662,0.763,,20.18244014,2.487275321
BDM09150034BF,107,Organix,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.7,0.38,2.2,10.6,78,98,810,70,15,8.9,0.614,0.781,,20.79883098,3.631015578
BDM09150035BF,108,Polyethylene,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,6,0.22,2.2,2.6,69,91,760,71,38,14.8,0.684,0.776,,17.39030554,2.076609627
BDM09150036BF,201,PLA/PHA,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,6,0.2,2.3,2.3,85,110,890,81,27,9.5,0.660,0.713,,20.75750123,3.335969186
BDM09150037BF,202,No Mulch,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.8,0.68,2.4,29.9,95,155,1050,85,17,17.4,0.681,0.816,,19.48927969,3.353531009
BDM09150038BF,203,Weedguard,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.7,0.62,2.3,23.2,107,192,1030,93,18,15.5,0.734,0.857,,23.03536346,3.710374285
BDM09150039BF,204,BioAgri,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,0.28,2.3,8.1,98,126,760,70,17,7.8,0.750,0.790,,22.49335588,3.655465696
