Group,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,soilph,solsalt,om,no3ppm,brayp,exk,exca,exmg,exna,cec,eea.cn,eea.cp,TotalN,GSM,ResC
BDM09160011BF,204,BioAgri,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.4,0.44,1.4,16,92,82,510,52,13,9.3,0.555,0.697,38,11.35802469,6.877378118
BDM09160012BF,205,Organix,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.6,0.26,1.4,12,103,118,710,67,14,10.5,0.62,0.787,29,11.87335092,6.337790958
BDM09160013BF,206,Naturecycle,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.3,0.28,1.5,9.1,84,118,890,69,8,8.4,0.611,0.806,22,12.41534989,6.538843307
BDM09160014BF,207,Polyethylene,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.3,0.18,1.3,4.5,96,96,880,61,10,9.2,0.581,0.721,11,6.352941176,1.881158089
BDM09160015BF,301,Naturecycle,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.4,0.38,1.6,13.8,40,86,670,87,13,9.4,0.636,0.761,33,11.98979592,7.105386058
BDM09160016BF,302,Weedguard,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.7,0.34,1.4,8.5,56,84,710,105,13,7.7,0.531,0.637,20,14.03940887,5.766718983
BDM09160017BF,304,Polyethylene,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.7,0.32,1.3,10.8,78,79,710,79,11,7.5,0.606,0.797,26,4.608294931,1.992949429
BDM09160018BF,305,BioAgri,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.1,0.48,1.4,17,67,142,970,97,14,8.1,0.597,0.802,41,12.44131455,5.694544872
BDM09160019BF,306,PLA/PHA,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.6,0.36,1.3,9.1,61,139,970,107,12,7.2,0.597,0.792,22,11.5942029,6.910266688
BDM09160020BF,307,No Mulch,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.4,0.26,1.2,5.5,79,127,730,65,12,7.6,0.621,0.768,13,10.99744246,9.214743534
BDM09160021BF,308,Organix,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.6,0.34,1.5,9.3,85,141,650,47,10,8,0.628,0.744,22,11.81102362,7.294172905
BDM09160029BF,101,Weedguard,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.6,0.32,2.1,13.9,87,134,790,87,22,11.1,0.694,0.812,,20.13638989,6.735630879
BDM09160030BF,102,BioAgri,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.4,0.44,2.3,17.8,98,118,960,94,26,12,0.701,0.866,,21.53110048,5.820360151
BDM09160031BF,103,PLA/PHA,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.4,0.4,2.2,12.2,96,105,870,96,25,12.5,0.687,0.813,,20.95616024,6.355156447
BDM09160032BF,105,Naturecycle,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.6,0.34,2.3,8,93,109,830,89,25,10.3,0.72,0.826,,20.07844646,0.559185467
BDM09160033BF,106,No Mulch,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.7,0.38,2.2,12,102,97,790,82,16,10,0.785,0.915,,16.38783364,6.052971634
BDM09160034BF,107,Organix,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.7,0.26,2.1,7.2,96,101,870,86,23,10.4,0.73,0.808,,20.16183375,6.402647654
BDM09160035BF,108,Polyethylene,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.5,0.32,2.1,11.4,92,86,830,89,33,10.3,0.735,0.801,,18.48406008,5.049480194
BDM09160036BF,201,PLA/PHA,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.4,0.6,2.1,17.7,92,107,790,80,29,9,0.715,0.823,,20.82372606,4.953207811
BDM09160037BF,202,No Mulch,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.7,0.28,2.3,7.2,112,128,930,86,24,9.8,0.735,0.856,,17.15463788,6.396592121
BDM09160038BF,203,Weedguard,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.2,0.58,2.3,30.2,123,147,850,83,20,9.4,0.714,0.784,,19.40860215,8.206443116
BDM09160039BF,204,BioAgri,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.4,0.56,2.3,24,105,176,980,102,27,13.3,0.76,0.849,,22.17131195,5.230971812
BDM09160040BF,205,Organix,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.4,0.26,2.3,11.7,114,142,870,89,18,11.5,0.737,0.816,,21.36586662,5.830265304
BDM09160041BF,206,Naturecycle,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.4,0.56,2.2,33.2,111,118,810,90,25,11.2,0.689,0.796,,20.95435572,4.204551021
BDM09160042BF,207,Polyethylene,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.4,0.4,2.1,8.5,88,86,780,75,27,9.9,0.73,0.824,,19.7755161,4.809873458
BDM09160043BF,301,Naturecycle,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.7,0.38,2.3,10.2,91,110,850,85,21,9.3,0.69,0.83,,21.20651369,4.937607088
BDM09160044BF,302,Weedguard,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.7,0.32,2.3,6.9,105,139,860,76,15,10.4,0.687,0.835,,20.27067081,5.540266956
BDM09160045BF,304,Polyethylene,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.5,0.38,2.4,9.8,119,115,910,87,25,9.7,0.718,0.808,,21.02090365,2.011761498
BDM09160046BF,305,BioAgri,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.5,0.28,2.4,5.1,120,111,790,78,18,10,0.697,0.793,,19.33211311,5.634120838
BDM09160047BF,306,PLA/PHA,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.9,0.2,2.4,3.3,104,120,940,100,27,9,0.455,0.647,,20.71687527,7.478121161
BDM09160048BF,307,No Mulch,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.8,0.2,2.3,5.1,101,97,900,90,28,12.6,0.666,0.798,,16.21916187,11.44990474
BDM09160049BF,308,Organix,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.2,0.28,2.3,6.4,108,99,790,77,25,12,0.695,0.81,,21.36339238,6.570593666
