,OTU,Sample,Abundance,Group,Smple.ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa,Kingdom,Phylum,Class,Order,Family,Genus,Taxonomy,,,Genus1
50007,Otu013,BDM09150004BF,0.033490601,BDM09150004BF,105,Naturecycle,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,4.815,39,7.737862706,1.9,4.449081189,63,29,5,3,0,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50008,Otu013,BDM05160049BF,0.032172625,BDM05160049BF,308,Organix,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.63,NA,10.16483516,NA,2.302212417,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50009,Otu013,BDM05160032BF,0.031783547,BDM05160032BF,105,Naturecycle,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.245,NA,15.8045977,NA,4.277320803,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50010,Otu013,BDM09150009BF,0.031635653,BDM09150009BF,202,No Mulch,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.405,19,6.061796154,1.4,2.794888074,56,33,7,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50011,Otu013,BDM05150020BF,0.031541321,BDM05150020BF,307,No Mulch,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,4.955,44,11.95097038,1.2,4.254159679,41,45,10,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50012,Otu013,BDM05150005BF,0.030886866,BDM05150005BF,106,No Mulch,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.215,97,15.67010309,1.9,1.385787126,46,41,8,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50013,Otu013,BDM05150004BF,0.030566322,BDM05150004BF,105,Naturecycle,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,4.62,47,16.46205357,1.7,8.6277387,45,40,10,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50014,Otu013,BDM05160034BF,0.029541246,BDM05160034BF,107,Organix,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.32,NA,12.67605634,NA,3.5952218,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50015,Otu013,BDM09150012BF,0.029339339,BDM09150012BF,205,Organix,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.315,27,9.647875587,1.6,2.447388101,35,49,8,7,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50016,Otu013,BDM09150016BF,0.029088527,BDM09150016BF,302,Weedguard,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.01,23,8.312746733,1.4,2.432951694,57,32,7,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50017,Otu013,BDM09150015BF,0.028961902,BDM09150015BF,301,Naturecycle,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,4.965,28,7.317783443,1.6,2.656209403,52,37,7,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50018,Otu013,BDM05160040BF,0.028867413,BDM05160040BF,205,Organix,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.395,NA,13.05555556,NA,3.988122668,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50019,Otu013,BDM09160006BF,0.028845014,BDM09160006BF,107,Organix,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.1,29,10.77348066,1.5,7.504353114,48,41,6,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50020,Otu013,BDM05150006BF,0.028257542,BDM05150006BF,107,Organix,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.18,55,11.75540327,1.4,9.054453677,50,38,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50021,Otu013,BDM05160044BF,0.028241256,BDM05160044BF,302,Weedguard,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.145,NA,12.35955056,NA,3.036042532,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50022,Otu013,BDM05150016BF,0.028085443,BDM05150016BF,302,Weedguard,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,4.66,36,13.85444744,1.3,4.476142285,41,43,13,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50023,Otu013,BDM05160037BF,0.027916224,BDM05160037BF,202,No Mulch,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.355,NA,12.15469613,NA,4.372361726,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50024,Otu013,BDM05150017BF,0.027877408,BDM05150017BF,304,Polyethylene,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,4.84,32,13.31236897,1.2,4.771065381,23,62,11,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50025,Otu013,BDM09160010BF,0.027871793,BDM09160010BF,203,Weedguard,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.75,25,11.95402299,1.4,8.440390176,34,51,9,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50026,Otu013,BDM05150012BF,0.027566524,BDM05150012BF,205,Organix,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.355,62,15.64738292,1.6,7.528852665,43,44,9,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50027,Otu013,BDM05150002BF,0.027008074,BDM05150002BF,102,BioAgri,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,4.86,85,15.27777778,1.5,10.30068473,67,25,5,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50028,Otu013,BDM05160035BF,0.026980358,BDM05160035BF,108,Polyethylene,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.025,NA,11.47540984,NA,3.978473604,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50029,Otu013,BDM05150011BF,0.026811583,BDM05150011BF,204,BioAgri,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,4.71,57,13.22272499,1.4,7.508101571,63,27,7,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50030,Otu013,BDM05150015BF,0.02601183,BDM05150015BF,301,Naturecycle,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,4.235,43,14.68955073,1.5,4.709934639,51,35,11,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50031,Otu013,BDM09150010BF,0.025900845,BDM09150010BF,203,Weedguard,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,4.84,35,7.24417449,1.3,2.734633308,59,30,6,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50032,Otu013,BDM09160009BF,0.025591743,BDM09160009BF,202,No Mulch,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.05,21,11.45038168,1.4,7.863050937,28,56,11,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50033,Otu013,BDM05160045BF,0.025579526,BDM05160045BF,304,Polyethylene,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.14,NA,10.92896175,NA,2.576790047,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50034,Otu013,BDM09160016BF,0.025480446,BDM09160016BF,302,Weedguard,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.5,20,14.03940887,1.4,5.766718983,39,46,11,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50035,Otu013,BDM09150006BF,0.025403226,BDM09150006BF,107,Organix,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.255,18,9.784606567,1.7,3.772583098,61,32,5,2,0,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50036,Otu013,BDM09160012BF,0.025349433,BDM09160012BF,205,Organix,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.75,29,11.87335092,1.4,6.337790958,57,34,5,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50037,Otu013,BDM05160031BF,0.025310387,BDM05160031BF,103,PLA/PHA,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.005,NA,12.15469613,NA,8.138756816,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50038,Otu013,BDM09160004BF,0.025160167,BDM09160004BF,105,Naturecycle,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.75,58,11.26436782,1.6,4.478736497,52,37,6,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50039,Otu013,BDM05150007BF,0.02483803,BDM05150007BF,108,Polyethylene,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.13,80,15.78666667,1.7,18.84867996,33,49,10,7,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50040,Otu013,BDM05160043BF,0.024801031,BDM05160043BF,301,Naturecycle,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.715,NA,14.20454545,NA,2.448572307,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50041,Otu013,BDM05160038BF,0.02453313,BDM05160038BF,203,Weedguard,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.055,NA,11.35734072,NA,3.93934806,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50042,Otu013,BDM05160039BF,0.0245248,BDM05160039BF,204,BioAgri,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.13,NA,12.32492997,NA,3.545908887,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50043,Otu013,BDM05150001BF,0.024129505,BDM05150001BF,101,Weedguard,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,4.49,58,13.74331551,1.5,6.416718599,54,34,8,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50044,Otu013,BDM09150017BF,0.023986534,BDM09150017BF,304,Polyethylene,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.13,12,6.39543597,1.3,0.940797453,63,28,5,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50045,Otu013,BDM09160017BF,0.023845919,BDM09160017BF,304,Polyethylene,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.3,26,4.608294931,1.3,1.992949429,40,47,9,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
