"","Group","mean","sd","measure","Smple.ID","Treatment","Rep","Year_Month","Season","Location","Season_Location","Season_Year_Location","Year","soilph","solsalt","om","no3ppm","brayp","exk","exca","exmg","exna","cec","eea.cn","eea.cp","TotalN","GSM","ResC"
"32","BDM09160016BF",9.85926883287673,0.102993035416615,"Inverse Simpson",302,"Weedguard",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.7,0.34,1.4,8.5,56,84,710,105,13,7.7,0.531,0.637,20,14.03940887,5.766718983
"33","BDM09160017BF",9.32490024912923,0.103364845419763,"Inverse Simpson",304,"Polyethylene",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.7,0.32,1.3,10.8,78,79,710,79,11,7.5,0.606,0.797,26,4.608294931,1.992949429
"34","BDM09160017BF",280.35,4.35629116649389,"Richness",304,"Polyethylene",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.7,0.32,1.3,10.8,78,79,710,79,11,7.5,0.606,0.797,26,4.608294931,1.992949429
"35","BDM09160018BF",9.4902054687498,0.0942684983720678,"Inverse Simpson",305,"BioAgri",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.1,0.48,1.4,17,67,142,970,97,14,8.1,0.597,0.802,41,12.44131455,5.694544872
"36","BDM09160018BF",333.02,4.39692270718161,"Richness",305,"BioAgri",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.1,0.48,1.4,17,67,142,970,97,14,8.1,0.597,0.802,41,12.44131455,5.694544872
"37","BDM09160019BF",300.13,3.87599449604012,"Richness",306,"PLA/PHA",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.6,0.36,1.3,9.1,61,139,970,107,12,7.2,0.597,0.792,22,11.5942029,6.910266688
"38","BDM09160019BF",9.70370840996653,0.0958620535642615,"Inverse Simpson",306,"PLA/PHA",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.6,0.36,1.3,9.1,61,139,970,107,12,7.2,0.597,0.792,22,11.5942029,6.910266688
"39","BDM09160020BF",291.1,4.03394686042433,"Richness",307,"No Mulch",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.4,0.26,1.2,5.5,79,127,730,65,12,7.6,0.621,0.768,13,10.99744246,9.214743534
"40","BDM09160020BF",9.62903071907603,0.10522562378119,"Inverse Simpson",307,"No Mulch",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.4,0.26,1.2,5.5,79,127,730,65,12,7.6,0.621,0.768,13,10.99744246,9.214743534
"41","BDM09160021BF",9.03908125820995,0.0934121612491027,"Inverse Simpson",308,"Organix",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.6,0.34,1.5,9.3,85,141,650,47,10,8,0.628,0.744,22,11.81102362,7.294172905
"42","BDM09160021BF",299.13,3.79966771540285,"Richness",308,"Organix",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.6,0.34,1.5,9.3,85,141,650,47,10,8,0.628,0.744,22,11.81102362,7.294172905
