,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa
BDM09150039BF,204,BioAgri,2,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.9,19,22.49335588,2.3,3.655465696,38,50,7,4,1
BDM09150040BF,205,Organix,2,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.5,43,22.37001209,2.2,3.120348439,55,35,6,3,1
BDM09150041BF,206,Naturecycle,2,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.9,12,21.57413914,2.2,3.882353871,27,59,9,4,1
BDM09150042BF,207,Polyethylene,2,2015-09,Fall,WA,FallWA,Fall2015WA,2015,6,6,18.22892134,2.2,2.855857074,51,40,6,2,1
BDM09150043BF,301,Naturecycle,3,2015-09,Fall,WA,FallWA,Fall2015WA,2015,6.2,16,21.59227986,2.5,4.831513422,42,46,7,4,1
BDM09150044BF,302,Weedguard,3,2015-09,Fall,WA,FallWA,Fall2015WA,2015,6.2,14,22.57601149,2.4,4.191668159,43,46,6,4,1
BDM09150045BF,304,Polyethylene,3,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.9,9,17.33760293,2.4,1.243036392,65,29,4,2,0
BDM09150046BF,305,BioAgri,3,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.4,77,22.36590038,2.5,3.320773436,45,43,7,4,1
BDM09150047BF,306,PLA/PHA,3,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.8,11,20.56230641,2.3,2.689408881,65,29,4,2,0
BDM09150048BF,307,No Mulch,3,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.6,53,19.77454204,2.7,5.767336794,54,36,6,3,1
BDM09150049BF,308,Organix,3,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.8,22,21.96896217,2.2,3.495600711,58,34,5,2,1
BDM09160029BF,101,Weedguard,1,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.6,33,20.13638989,2.1,6.735630879,54,35,7,3,1
BDM09160030BF,102,BioAgri,1,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.4,43,21.53110048,2.3,5.820360151,50,39,7,3,1
BDM09160031BF,103,PLA/PHA,1,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.4,29,20.95616024,2.2,6.355156447,56,35,6,2,1
BDM09160032BF,105,Naturecycle,1,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.6,19,20.07844646,2.3,0.559185467,49,40,7,3,1
BDM09160033BF,106,No Mulch,1,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.7,29,16.38783364,2.2,6.052971634,50,40,7,2,1
BDM09160034BF,107,Organix,1,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.7,17,20.16183375,2.1,6.402647654,48,42,7,2,1
BDM09160035BF,108,Polyethylene,1,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.5,27,18.48406008,2.1,5.049480194,49,41,7,2,1
BDM09160036BF,201,PLA/PHA,2,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.4,42,20.82372606,2.1,4.953207811,44,45,7,3,1
BDM09160037BF,202,No Mulch,2,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.7,17,17.15463788,2.3,6.396592121,41,48,7,3,1
BDM09160038BF,203,Weedguard,2,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.2,72,19.40860215,2.3,8.206443116,43,45,7,4,1
BDM09160039BF,204,BioAgri,2,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.4,58,22.17131195,2.3,5.230971812,53,37,6,3,1
BDM09160040BF,205,Organix,2,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.4,28,21.36586662,2.3,5.830265304,52,38,6,3,1
BDM09160041BF,206,Naturecycle,2,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.4,80,20.95435572,2.2,4.204551021,54,35,7,3,1
BDM09160042BF,207,Polyethylene,2,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.4,20,19.7755161,2.1,4.809873458,51,40,6,2,1
BDM09160043BF,301,Naturecycle,3,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.7,24,21.20651369,2.3,4.937607088,43,45,8,3,1
BDM09160044BF,302,Weedguard,3,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.7,17,20.27067081,2.3,5.540266956,48,42,6,3,1
BDM09160045BF,304,Polyethylene,3,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.5,24,21.02090365,2.4,2.011761498,41,48,7,3,1
BDM09160046BF,305,BioAgri,3,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.5,12,19.33211311,2.4,5.634120838,50,40,6,3,1
BDM09160047BF,306,PLA/PHA,3,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.9,8,20.71687527,2.4,7.478121161,33,54,9,3,1
BDM09160048BF,307,No Mulch,3,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.8,12,16.21916187,2.3,11.44990474,56,35,6,2,1
BDM09160049BF,308,Organix,3,2016-09,Fall,WA,FallWA,Fall2016WA,2016,5.2,15,21.36339238,2.3,6.570593666,58,34,5,2,1
