Group,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa
BDM05150014BF,207,Polyethylene,2,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,5.68,32,12.97297297,1.2,2.031066566,48,41,7,3,1
BDM05150015BF,301,Naturecycle,3,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.235,43,14.68955073,1.5,4.709934639,51,35,11,2,1
BDM05150016BF,302,Weedguard,3,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.66,36,13.85444744,1.3,4.476142285,41,43,13,2,1
BDM05150017BF,304,Polyethylene,3,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.84,32,13.31236897,1.2,4.771065381,23,62,11,3,1
BDM05150018BF,305,BioAgri,3,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,6.085,25,13.89172625,1.3,58.71768632,29,57,11,2,1
BDM05150019BF,306,PLA/PHA,3,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,5.665,23,12.65822785,1.2,3.194189598,29,54,13,3,1
BDM05150020BF,307,No Mulch,3,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.955,44,11.95097038,1.2,4.254159679,41,45,10,3,1
BDM05150021BF,308,Organix,3,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,5.07,34,12.45972073,1.4,6.542633109,36,52,7,4,1
BDM05160029BF,101,Weedguard,1,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,5.825,7,13.61111111,1.4,5.095171454,52,38,6,3,1
BDM05160030BF,102,BioAgri,1,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.19,5,13.8028169,1.3,6.596229766,42,48,7,3,0
BDM05160031BF,103,PLA/PHA,1,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.005,6,12.15469613,1.4,8.138756816,47,41,8,3,1
BDM05160032BF,105,Naturecycle,1,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.245,16,15.8045977,1.5,4.277320803,52,37,6,4,1
BDM05160033BF,106,No Mulch,1,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.33,13,15.29745042,1.7,4.277650503,55,37,5,3,0
BDM05160034BF,107,Organix,1,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.32,14,12.67605634,1.5,3.5952218,42,47,7,4,0
BDM05160035BF,108,Polyethylene,1,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.025,13,11.47540984,1.5,3.978473604,67,25,4,3,1
BDM05160036BF,201,PLA/PHA,2,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,5.595,7,14.3258427,1.5,4.299283462,67,27,5,1,0
BDM05160037BF,202,No Mulch,2,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.355,5,12.15469613,1.4,4.372361726,61,31,6,2,0
BDM05160038BF,203,Weedguard,2,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.055,5,11.35734072,1.3,3.93934806,65,28,5,2,0
BDM05160039BF,204,BioAgri,2,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.13,6,12.32492997,1.2,3.545908887,55,35,7,2,1
BDM05160040BF,205,Organix,2,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.395,15,13.05555556,1.4,3.988122668,33,53,9,4,1
BDM05160041BF,206,Naturecycle,2,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.865,12,14.64788732,1.5,3.720813535,26,61,8,4,1
BDM05160042BF,207,Polyethylene,2,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.68,13,11.29476584,1.3,1.428191409,30,57,7,5,1
BDM05160043BF,301,Naturecycle,3,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,5.715,11,14.20454545,1.6,2.448572307,56,34,7,2,1
BDM05160044BF,302,Weedguard,3,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.145,6,12.35955056,1.4,3.036042532,49,40,9,2,0
BDM05160045BF,304,Polyethylene,3,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.14,6,10.92896175,1.2,2.576790047,67,27,5,1,0
BDM05160046BF,305,BioAgri,3,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.815,12,12.77777778,1.3,3.100253868,38,49,9,3,1
BDM05160047BF,306,PLA/PHA,3,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,7.025,9,12.39669421,1.3,3.400088279,29,56,10,4,1
BDM05160048BF,307,No Mulch,3,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.855,5,9.56284153,1.2,2.473600648,31,56,9,3,1
BDM05160049BF,308,Organix,3,2016-05,Spring,TN,SpringTN,Spring2016TN,2016,6.63,6,10.16483516,1.4,2.302212417,31,56,7,5,1
BDM09150001BF,101,Weedguard,1,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.7,26,6.260929127,1.6,4.409592476,68,24,4,3,1
BDM09150002BF,102,BioAgri,1,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.75,24,6.118162096,1.5,3.815520567,55,35,6,3,1
BDM09150003BF,103,PLA/PHA,1,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.755,46,10.29189145,1.6,6.302637036,64,28,5,2,1
BDM09150004BF,105,Naturecycle,1,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.815,39,7.737862706,1.9,4.449081189,63,29,5,3,0
BDM09150005BF,106,No Mulch,1,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.9,26,8.648714843,2.1,4.161709641,62,31,5,2,0
BDM09150006BF,107,Organix,1,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.255,18,9.784606567,1.7,3.772583098,61,32,5,2,0
BDM09150007BF,108,Polyethylene,1,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.855,22,12.18409654,1.5,3.802966679,59,32,6,2,1
BDM09150008BF,201,PLA/PHA,2,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.72,32,8.326771648,1.7,2.874319212,77,18,3,2,0
BDM09150009BF,202,No Mulch,2,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.405,19,6.061796154,1.4,2.794888074,56,33,7,3,1
BDM09150010BF,203,Weedguard,2,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.84,35,7.24417449,1.3,2.734633308,59,30,6,4,1
BDM09150011BF,204,BioAgri,2,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.8,28,21.48901328,1.4,3.602059855,67,24,4,4,1
BDM09150012BF,205,Organix,2,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.315,27,9.647875587,1.6,2.447388101,35,49,8,7,1
BDM09150013BF,206,Naturecycle,2,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.635,30,7.38246724,1.7,4.205137418,58,36,4,2,0
BDM09150014BF,207,Polyethylene,2,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.77,10,8.11326229,1.4,2.126025984,51,42,5,2,0
BDM09150015BF,301,Naturecycle,3,2015-09,Fall,TN,FallTN,Fall2015TN,2015,4.965,28,7.317783443,1.6,2.656209403,52,37,7,3,1
BDM09150016BF,302,Weedguard,3,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.01,23,8.312746733,1.4,2.432951694,57,32,7,3,1
BDM09150017BF,304,Polyethylene,3,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.13,12,6.39543597,1.3,0.940797453,63,28,5,3,1
BDM09150018BF,305,BioAgri,3,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.645,34,7.81809659,1.5,3.554815248,57,33,6,3,1
BDM09150019BF,306,PLA/PHA,3,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.98,23,7.592589615,1.3,0.982374678,31,52,9,7,1
BDM09150020BF,307,No Mulch,3,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.795,9,5.342924525,1.3,2.678001119,33,51,8,5,3
BDM09150021BF,308,Organix,3,2015-09,Fall,TN,FallTN,Fall2015TN,2015,5.455,18,6.945678435,1.5,2.465492948,56,36,4,3,1
BDM09160001BF,101,Weedguard,1,2016-09,Fall,TN,FallTN,Fall2016TN,2016,6,41,12.15277778,1.5,13.16544047,67,25,4,3,1
BDM09160002BF,102,BioAgri,1,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.5,66,9.73871734,1.3,11.76406287,54,36,5,4,1
BDM09160003BF,103,PLA/PHA,1,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.85,35,8.8,1.5,3.830969423,62,30,5,2,1
BDM09160004BF,105,Naturecycle,1,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.75,58,11.26436782,1.6,4.478736497,52,37,6,4,1
BDM09160005BF,106,No Mulch,1,2016-09,Fall,TN,FallTN,Fall2016TN,2016,6.05,43,12.95843521,1.7,10.45869367,36,51,7,5,1
BDM09160006BF,107,Organix,1,2016-09,Fall,TN,FallTN,Fall2016TN,2016,6.1,29,10.77348066,1.5,7.504353114,48,41,6,4,1
BDM09160007BF,108,Polyethylene,1,2016-09,Fall,TN,FallTN,Fall2016TN,2016,6.25,18,6.796116505,1.6,3.419081186,43,46,5,5,1
BDM09160008BF,201,PLA/PHA,2,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.65,30,9.635416667,1.7,10.68624742,49,39,7,4,1
BDM09160009BF,202,No Mulch,2,2016-09,Fall,TN,FallTN,Fall2016TN,2016,6.05,21,11.45038168,1.4,7.863050937,28,56,11,4,1
BDM09160010BF,203,Weedguard,2,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.75,25,11.95402299,1.4,8.440390176,34,51,9,5,1
BDM09160011BF,204,BioAgri,2,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.55,38,11.35802469,1.4,6.877378118,65,27,5,2,1
BDM09160012BF,205,Organix,2,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.75,29,11.87335092,1.4,6.337790958,57,34,5,3,1
BDM09160013BF,206,Naturecycle,2,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.85,22,12.41534989,1.5,6.538843307,36,53,7,4,0
BDM09160014BF,207,Polyethylene,2,2016-09,Fall,TN,FallTN,Fall2016TN,2016,6.15,11,6.352941176,1.3,1.881158089,43,48,6,3,0
BDM09160015BF,301,Naturecycle,3,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.45,33,11.98979592,1.6,7.105386058,53,36,8,2,1
BDM09160016BF,302,Weedguard,3,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.5,20,14.03940887,1.4,5.766718983,39,46,11,3,1
BDM09160017BF,304,Polyethylene,3,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.3,26,4.608294931,1.3,1.992949429,40,47,9,3,1
BDM09160018BF,305,BioAgri,3,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.6,41,12.44131455,1.4,5.694544872,25,60,10,4,1
BDM09160019BF,306,PLA/PHA,3,2016-09,Fall,TN,FallTN,Fall2016TN,2016,6,22,11.5942029,1.3,6.910266688,14,68,12,5,1
BDM09160020BF,307,No Mulch,3,2016-09,Fall,TN,FallTN,Fall2016TN,2016,6.2,13,10.99744246,1.2,9.214743534,39,49,7,4,1
BDM09160021BF,308,Organix,3,2016-09,Fall,TN,FallTN,Fall2016TN,2016,5.85,22,11.81102362,1.5,7.294172905,50,39,5,5,1
